family,workload_id,model,k_frac_deleted,mask_seed,retained_recall,coord_success,f1
a,c1-a-007,llama3.1:8b,0.15,1,0.8536585365853658,0.0,0.5343828616165206
a,c1-a-007,llama3.1:8b,0.15,2,0.8536585365853658,0.0,0.6105255632296704
a,c1-a-007,llama3.1:8b,0.3,0,0.7073170731707317,0.0,0.6296320207901084
a,c1-a-007,llama3.1:8b,0.3,1,0.7073170731707317,0.0,0.5477173593191565
a,c1-a-007,llama3.1:8b,0.3,2,0.7073170731707317,0.0,0.7125092883370292
a,c1-a-007,llama3.1:8b,0.45,0,0.5609756097560976,0.0,0.519906032678908
a,c1-a-007,llama3.1:8b,0.45,1,0.5609756097560976,0.0,0.4069502687450432
a,c1-a-007,llama3.1:8b,0.45,2,0.5609756097560976,0.0,0.6819947277176753
a,c1-a-007,llama3.1:8b,0.6,0,0.3902439024390244,0.0,0.6451850055964481
a,c1-a-007,llama3.1:8b,0.6,1,0.3902439024390244,0.0,0.49752409327005864
a,c1-a-007,llama3.1:8b,0.6,2,0.3902439024390244,0.0,0.014002333722287041
a,c1-a-007,llama3.1:8b,0.75,0,0.24390243902439024,0.0,0.2591384731856397
a,c1-a-007,llama3.1:8b,0.75,1,0.24390243902439024,0.0,0.26043991072866635
a,c1-a-007,llama3.1:8b,0.75,2,0.24390243902439024,0.0,0.18653278458465655
a,c1-a-007,llama3.1:8b,0.9,0,0.0975609756097561,0.0,0.014002333722287041
a,c1-a-007,llama3.1:8b,0.9,1,0.0975609756097561,0.0,0.0
a,c1-a-007,llama3.1:8b,0.9,2,0.0975609756097561,0.0,0.1231198550564096
a,c1-a-007,llama3.1:8b,1.0,0,0.0,0.0,0.47481054646750964
a,c1-a-007,llama3.1:8b,1.0,1,0.0,0.0,0.47481054646750964
a,c1-a-007,llama3.1:8b,1.0,2,0.0,0.0,0.47481054646750964
a,c1-a-008,llama3.1:8b,0.0,0,1.0,1.0,0.9998112024891064
a,c1-a-008,llama3.1:8b,0.0,1,1.0,1.0,0.9998112024891064
a,c1-a-008,llama3.1:8b,0.0,2,1.0,1.0,0.9998112024891064
a,c1-a-008,llama3.1:8b,0.15,0,0.8409090909090909,0.0,0.7165771400375675
a,c1-a-008,llama3.1:8b,0.15,1,0.8409090909090909,1.0,0.8775011512464286
a,c1-a-008,llama3.1:8b,0.15,2,0.8409090909090909,0.0,0.0
a,c1-a-008,llama3.1:8b,0.3,0,0.7045454545454546,0.0,0.4948783628366838
a,c1-a-008,llama3.1:8b,0.3,1,0.7045454545454546,0.0,0.7393278258432183
a,c1-a-008,llama3.1:8b,0.3,2,0.7045454545454546,0.0,0.455099595446158
a,c1-a-008,llama3.1:8b,0.45,0,0.5454545454545454,0.0,0.33618286828584015
a,c1-a-008,llama3.1:8b,0.45,1,0.5454545454545454,0.0,0.5714736228330308
a,c1-a-008,llama3.1:8b,0.45,2,0.5454545454545454,0.0,0.06786703601108035
a,c1-a-008,llama3.1:8b,0.6,0,0.4090909090909091,0.0,0.0
a,c1-a-008,llama3.1:8b,0.6,1,0.4090909090909091,0.0,0.3283547429710687
a,c1-a-008,llama3.1:8b,0.6,2,0.4090909090909091,0.0,0.5573649783483249
a,c1-a-008,llama3.1:8b,0.75,0,0.25,0.0,0.26048923407558894
a,c1-a-008,llama3.1:8b,0.75,1,0.25,0.0,0.17867036011080334
a,c1-a-008,llama3.1:8b,0.75,2,0.25,0.0,0.00728569594538464
a,c1-a-008,llama3.1:8b,0.9,0,0.09090909090909091,0.0,0.08310249307479223
a,c1-a-008,llama3.1:8b,0.9,1,0.09090909090909091,0.0,0.1677389371614314
a,c1-a-008,llama3.1:8b,0.9,2,0.09090909090909091,0.0,0.11218836565096951
a,c1-a-008,llama3.1:8b,1.0,0,0.0,0.0,0.2822535757882474
a,c1-a-008,llama3.1:8b,1.0,1,0.0,0.0,0.0
a,c1-a-008,llama3.1:8b,1.0,2,0.0,0.0,0.0
a,c1-a-009,llama3.1:8b,0.0,0,1.0,1.0,0.9960804156184748
a,c1-a-009,llama3.1:8b,0.0,1,1.0,1.0,0.9960804156184748
a,c1-a-009,llama3.1:8b,0.0,2,1.0,1.0,0.9960804156184748
a,c1-a-009,llama3.1:8b,0.15,0,0.8571428571428571,1.0,0.8317327124467381
a,c1-a-009,llama3.1:8b,0.15,1,0.8571428571428571,1.0,0.9488513630903452
a,c1-a-009,llama3.1:8b,0.15,2,0.8571428571428571,0.0,0.6848760281681356
a,c1-a-009,llama3.1:8b,0.3,0,0.6904761904761905,0.0,0.4380518819721711
a,c1-a-009,llama3.1:8b,0.3,1,0.6904761904761905,0.0,0.6406894214016493
a,c1-a-009,llama3.1:8b,0.3,2,0.6904761904761905,0.0,0.5632786946800099
