compressor,regime,ratio,pipeline,workload_id,f1,retrieval_recall,eur_per_query,f1_over_eur,achieved_ratio
lingua2,storage_bounded,8.0,P1,c1-a-030,0.03478260869565218,0.625,0.00015442200000000003,225.243868721116,14.95
lingua2,storage_bounded,8.0,P2,c1-a-030,0.01739130434782609,0.625,0.00015331800000000003,113.43289338385635,1.0
lingua2,storage_bounded,8.0,P3,c1-a-030,0.4,0.625,0.00015939000000000003,2509.567726959031,1.0
lingua2,storage_bounded,8.0,P1,c1-a-031,0.019047619047619046,0.625,0.00015318000000000002,124.34795043490693,18.375
lingua2,storage_bounded,8.0,P2,c1-a-031,0.0,0.625,0.00015235200000000002,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-031,1.0,0.625,0.00016822200000000002,5944.52568629549,1.0
lingua2,storage_bounded,8.0,P1,c1-a-032,0.08344927536231884,0.625,0.00015745800000000002,529.9779964328192,13.826086956521738
lingua2,storage_bounded,8.0,P2,c1-a-032,0.06605797101449276,0.625,0.00015635400000000001,422.48980527836034,1.0
lingua2,storage_bounded,8.0,P3,c1-a-032,0.8173913043478261,0.625,0.00017043,4796.052950465447,1.0
lingua2,storage_bounded,8.0,P1,c1-a-033,0.034057971014492754,0.625,0.000156216,218.01845530862877,18.529411764705884
lingua2,storage_bounded,8.0,P2,c1-a-033,0.0,0.625,0.00015525,0.0,1.0
lingua2,storage_bounded,8.0,P3,c1-a-033,0.6,0.625,0.00016573800000000002,3620.1715961336563,1.0
lingua2,storage_bounded,8.0,P1,c1-a-034,0.07215320910973085,0.625,0.00015469800000000002,466.4133286127218,16.833333333333332
lingua2,storage_bounded,8.0,P2,c1-a-034,0.01739130434782609,0.625,0.00015387000000000002,113.02595923718782,1.0
lingua2,storage_bounded,8.0,P3,c1-a-034,0.8173913043478261,0.625,0.00016698,4895.144953574237,1.0
lingua2,storage_bounded,8.0,P1,c1-a-035,0.03666666666666667,0.625,0.00015483600000000002,236.80969972530073,19.125
lingua2,storage_bounded,8.0,P2,c1-a-035,0.03666666666666667,0.625,0.00015400800000000002,238.08287015393137,1.0
lingua2,storage_bounded,8.0,P3,c1-a-035,0.62,0.625,0.00016449600000000003,3769.0886100573866,1.0
lingua2,storage_bounded,8.0,P1,c1-a-036,0.03666666666666667,0.625,0.000155388,235.96845745274194,19.375
